ID1,ID2,EdgeType,Score,Annotation
3307,3523,MS2 (modified) cosine,0.089,cos=0.089
2961,4297,MS2 (modified) cosine,0.065,cos=0.065
3311,3519,MS2 (modified) cosine,0.119,cos=0.119
2531,2639,MS2 (modified) cosine,0.284,cos=0.284
4063,4096,MS2 (modified) cosine,0.181,cos=0.181
3203,4073,MS2 (modified) cosine,0.212,cos=0.212
1869,4359,MS2 (modified) cosine,0.111,cos=0.111
2810,2959,MS2 (modified) cosine,0.305,cos=0.305
2808,2961,MS2 (modified) cosine,0.133,cos=0.133
31,2370,MS2 (modified) cosine,0.018,cos=0.018
3298,4666,MS2 (modified) cosine,0.042,cos=0.042
1825,2696,MS2 (modified) cosine,0.225,cos=0.225
2495,5403,MS2 (modified) cosine,0.115,cos=0.115
5143,5681,MS2 (modified) cosine,0.035,cos=0.035
3272,3558,MS2 (modified) cosine,0.125,cos=0.125
3845,5441,MS2 (modified) cosine,0.523,cos=0.523
322,564,MS2 (modified) cosine,0.241,cos=0.241
4280,5541,MS2 (modified) cosine,0.125,cos=0.125
1058,2874,MS2 (modified) cosine,0.068,cos=0.068
2676,3294,MS2 (modified) cosine,0.080,cos=0.080
2785,2984,MS2 (modified) cosine,0.155,cos=0.155
2555,7633,MS2 (modified) cosine,0.256,cos=0.256
2560,2610,MS2 (modified) cosine,0.233,cos=0.233
1811,5338,MS2 (modified) cosine,0.307,cos=0.307
2555,2615,MS2 (modified) cosine,0.301,cos=0.301
2774,2995,MS2 (modified) cosine,0.083,cos=0.083
2448,2722,MS2 (modified) cosine,0.112,cos=0.112
3530,3582,MS2 (modified) cosine,0.213,cos=0.213
3529,3583,MS2 (modified) cosine,0.497,cos=0.497
5411,5688,MS2 (modified) cosine,0.066,cos=0.066
2566,6477,MS2 (modified) cosine,0.099,cos=0.099
2357,2553,MS2 (modified) cosine,0.426,cos=0.426
4265,5556,MS2 (modified) cosine,0.038,cos=0.038
1356,3194,MS2 (modified) cosine,0.064,cos=0.064
3426,3537,MS2 (modified) cosine,0.813,cos=0.813
2345,3024,MS2 (modified) cosine,0.531,cos=0.531
1567,4949,MS2 (modified) cosine,0.133,cos=0.133
1884,2637,MS2 (modified) cosine,0.197,cos=0.197
2729,3040,MS2 (modified) cosine,0.280,cos=0.280
3434,3529,MS2 (modified) cosine,0.215,cos=0.215
1881,2640,MS2 (modified) cosine,0.148,cos=0.148
3908,5378,MS2 (modified) cosine,0.209,cos=0.209
4216,5605,MS2 (modified) cosine,0.260,cos=0.260
2333,3036,MS2 (modified) cosine,0.395,cos=0.395
5381,5718,MS2 (modified) cosine,0.082,cos=0.082
3024,5784,MS2 (modified) cosine,0.032,cos=0.032
2958,4496,MS2 (modified) cosine,0.147,cos=0.147
217,3255,MS2 (modified) cosine,0.121,cos=0.121
1395,2603,MS2 (modified) cosine,0.173,cos=0.173
219,3253,MS2 (modified) cosine,0.393,cos=0.393
2343,3583,MS2 (modified) cosine,0.439,cos=0.439
2345,3581,MS2 (modified) cosine,0.297,cos=0.297
743,2107,MS2 (modified) cosine,0.027,cos=0.027
3196,5185,MS2 (modified) cosine,0.047,cos=0.047
3410,4166,MS2 (modified) cosine,0.090,cos=0.090
2766,3204,MS2 (modified) cosine,0.092,cos=0.092
1631,2367,MS2 (modified) cosine,0.020,cos=0.020
2767,3203,MS2 (modified) cosine,0.107,cos=0.107
2772,5764,MS2 (modified) cosine,0.064,cos=0.064
1567,2560,MS2 (modified) cosine,0.135,cos=0.135
743,1488,MS2 (modified) cosine,0.266,cos=0.266
3393,4096,MS2 (modified) cosine,0.148,cos=0.148
2367,2435,MS2 (modified) cosine,0.017,cos=0.017
2807,3141,MS2 (modified) cosine,0.673,cos=0.673
5712,5861,MS2 (modified) cosine,0.085,cos=0.085
565,579,MS2 (modified) cosine,0.427,cos=0.427
5281,5543,MS2 (modified) cosine,0.058,cos=0.058
3404,3426,MS2 (modified) cosine,0.488,cos=0.488
593,2841,MS2 (modified) cosine,0.169,cos=0.169
1716,2474,MS2 (modified) cosine,0.102,cos=0.102
2795,3175,MS2 (modified) cosine,0.160,cos=0.160
1727,2336,MS2 (modified) cosine,0.232,cos=0.232
2335,2467,MS2 (modified) cosine,0.009,cos=0.009
2811,3583,MS2 (modified) cosine,0.589,cos=0.589
1164,2768,MS2 (modified) cosine,0.170,cos=0.170
3209,5172,MS2 (modified) cosine,0.064,cos=0.064
3549,4113,MS2 (modified) cosine,0.152,cos=0.152
1727,2463,MS2 (modified) cosine,0.162,cos=0.162
2460,4096,MS2 (modified) cosine,0.132,cos=0.132
725,1506,MS2 (modified) cosine,0.582,cos=0.582
2899,4359,MS2 (modified) cosine,0.137,cos=0.137
606,5580,MS2 (modified) cosine,0.071,cos=0.071
2640,3129,MS2 (modified) cosine,0.205,cos=0.205
3096,4668,MS2 (modified) cosine,0.087,cos=0.087
3375,3455,MS2 (modified) cosine,0.196,cos=0.196
2333,2837,MS2 (modified) cosine,0.307,cos=0.307
5062,5279,MS2 (modified) cosine,0.061,cos=0.061
2811,3159,MS2 (modified) cosine,0.634,cos=0.634
2318,5809,MS2 (modified) cosine,0.417,cos=0.417
3861,4298,MS2 (modified) cosine,0.157,cos=0.157
408,1365,MS2 (modified) cosine,0.137,cos=0.137
3394,3436,MS2 (modified) cosine,0.405,cos=0.405
23,2637,MS2 (modified) cosine,0.386,cos=0.386
1754,2767,MS2 (modified) cosine,0.169,cos=0.169
5197,5627,MS2 (modified) cosine,0.108,cos=0.108
5194,5630,MS2 (modified) cosine,0.046,cos=0.046
2841,3129,MS2 (modified) cosine,0.138,cos=0.138
